year,munich_avg_temp,berlin_avg_temp,hamburg_avg_temp,global_avg_temp
1916,4.90,9.30,8.37,8.23
1917,3.91,8.39,7.81,8.02
1918,4.75,9.42,8.60,8.13
1919,3.85,8.00,7.32,8.38
1920,5.29,9.37,8.73,8.36
1921,5.48,9.78,9.21,8.57
1922,3.93,7.76,7.27,8.41
1923,4.88,8.58,7.78,8.42
1924,4.11,8.30,7.75,8.51
1925,4.42,9.32,8.67,8.53
1926,5.11,9.57,8.85,8.73
1927,4.86,8.72,8.13,8.52
1928,5.19,8.92,8.32,8.63
1929,4.13,7.99,7.34,8.24
1930,5.24,9.48,8.94,8.63
1931,3.88,8.35,7.91,8.72
1932,4.61,9.23,8.82,8.71
1933,3.88,8.32,8.31,8.34
1934,5.59,10.69,9.96,8.63
1935,4.57,9.34,8.85,8.52
1936,4.88,9.30,8.70,8.55
1937,5.20,9.41,8.77,8.70
1938,4.82,9.77,9.37,8.86
1939,4.49,9.32,8.87,8.76
1940,3.45,7.04,6.67,8.76
1941,3.80,7.62,7.25,8.77
1942,4.28,7.80,7.14,8.73
1943,5.56,9.67,9.10,8.76
1944,4.28,9.31,8.78,8.85
1945,5.20,9.64,9.25,8.58
1946,5.14,9.12,8.47,8.68
1947,5.51,8.79,8.24,8.80
1948,5.49,9.96,9.35,8.75
1949,5.55,10.04,9.48,8.59
1950,5.44,9.37,8.77,8.37
1951,5.29,9.72,8.91,8.63
1952,4.67,8.61,7.93,8.64
1953,5.22,10.13,9.34,8.87
1954,4.27,8.41,7.98,8.56
1955,4.39,8.36,7.96,8.63
1956,3.58,7.57,7.29,8.28
1957,5.11,9.46,8.92,8.73
1958,4.93,9.05,8.39,8.77
1959,5.51,9.88,9.36,8.73
1960,4.97,9.22,8.63,8.58
1961,5.85,9.81,9.16,8.80
1962,3.94,8.13,7.54,8.75
1963,3.99,8.12,7.30,8.86
1964,4.92,8.84,8.23,8.41
1965,4.08,8.33,7.84,8.53
1966,5.10,9.34,8.46,8.60
1967,5.18,10.08,9.38,8.70
1968,4.68,9.28,8.67,8.52
1969,4.42,8.43,8.09,8.60
1970,4.41,8.43,7.91,8.70
1971,4.86,9.54,8.92,8.60
1972,4.69,8.88,8.30,8.50
1973,4.57,9.24,8.80,8.95
1974,5.23,9.89,9.21,8.47
1975,5.20,10.08,9.44,8.74
1976,4.95,9.15,8.72,8.35
1977,5.32,9.54,8.93,8.85
1978,4.32,8.86,8.27,8.69
1979,4.87,8.53,7.63,8.73
1980,4.19,8.26,8.00,8.98
1981,4.82,9.18,8.40,9.17
1982,5.51,10.08,9.09,8.64
1983,5.60,10.21,9.41,9.03
1984,4.43,8.94,8.44,8.69
1985,4.52,8.46,7.66,8.66
1986,4.85,8.78,8.09,8.83
1987,4.69,8.09,7.55,8.99
1988,5.64,10.02,9.35,9.20
1989,5.88,10.72,9.93,8.92
1990,5.92,10.71,10.08,9.23
1991,4.93,9.36,8.79,9.18
1992,5.91,10.38,9.84,8.84
1993,5.33,9.34,8.57,8.87
1994,6.64,10.43,9.73,9.04
1995,5.33,9.75,9.16,9.35
1996,4.49,7.88,7.42,9.04
1997,5.79,9.73,9.27,9.20
1998,5.66,10.05,9.31,9.52
1999,5.55,10.58,10.02,9.29
2000,6.33,10.96,10.12,9.20
2001,5.59,9.69,9.19,9.41
2002,6.26,10.26,9.86,9.57
2003,6.12,10.07,9.48,9.53
2004,5.43,9.82,9.48,9.32
2005,5.01,9.92,9.58,9.70
2006,5.94,10.55,10.15,9.53
2007,6.28,10.88,10.37,9.73
2008,5.94,10.66,10.04,9.43
2009,5.89,10.06,9.61,9.51
2010,4.85,8.61,7.97,9.70
2011,6.56,10.56,9.73,9.52
2012,5.88,9.96,9.20,9.51
2013,6.00,10.12,9.17,9.61
